tweet_id,tweet_url,tweet_date,reply_count,like_count,tweet
1609080450894692353,https://twitter.com/VIVAcoid/status/1609080450894692353,2022-12-31 06:54:09+00:00,72,382,"Sambut 2023, Jalanan Kota Semarang Berubah Jadi Sungai https://t.co/mUfW7i5Puu https://t.co/2vHuot32B6"
1608736288487903236,https://twitter.com/VIVAcoid/status/1608736288487903236,2022-12-30 08:06:34+00:00,96,241,"Cabai Merah Cuma Dihargai Rp 10 Ribu per Kg, Petani Cirebon Buang Hasil Panen https://t.co/DwtWkJBQYd"
1608421375739580416,https://twitter.com/VIVAcoid/status/1608421375739580416,2022-12-29 11:15:13+00:00,59,107,"Tak Terima Dipecat, Ferdy Sambo Gugat Jokowi dan Kapolri https://t.co/Vj4Uq1mk2q"
1608354182293250048,https://twitter.com/VIVAcoid/status/1608354182293250048,2022-12-29 06:48:13+00:00,117,54,Febri Diansyah Tunjukan Foto Brigadir J di Tempat Hiburan Malam ke Hakim https://t.co/wz8yNaAuZX
1607959789283454979,https://twitter.com/VIVAcoid/status/1607959789283454979,2022-12-28 04:41:02+00:00,141,244,"Diberi Nama Baptis 'Yohanes' Bukti Anies Baswedan Diterima Semua Kalangan, Menurut Nasdem https://t.co/uLoYSbn7pD"
1607886187766910977,https://twitter.com/VIVAcoid/status/1607886187766910977,2022-12-27 23:48:34+00:00,82,50,Wakil Ketua KPK: OTT Berkali-kali Pun Tidak Membuat Para Pejabat Negara Menjadi Kapok https://t.co/aiPSeSyWbj
1607875860484456448,https://twitter.com/VIVAcoid/status/1607875860484456448,2022-12-27 23:07:32+00:00,33,3,KPU Khawatir Distribusi Logistik Pemilu Terganggu karena Bersamaan dengan Masa Rawan Bencana https://t.co/JofVHuehdp
1607553621625016320,https://twitter.com/VIVAcoid/status/1607553621625016320,2022-12-27 01:47:04+00:00,78,197,Viral! Penumpang Pajero Ngamuk ke Petugas SPBU https://t.co/LAjjO7KA1G #trending
1607535117232410624,https://twitter.com/VIVAcoid/status/1607535117232410624,2022-12-27 00:33:33+00:00,1668,503,"Kuis: Ramai di Twitter, Gak Ada yang Bisa Tebak Berapa Nomor Tepat dalam Gambar Ini https://t.co/liSM8DepZK"
1607226337210826755,https://twitter.com/VIVAcoid/status/1607226337210826755,2022-12-26 04:06:34+00:00,75,76,Alasan Habib Jafar Perbolehkan Muslim Ucapkan Selamat Natal https://t.co/sFl9FhERq5
